archetype,opp_archetype,w,l,d,matches,matches_wl,p_win,p_lose,p_draw,p_win_nodraw,p_lose_nodraw
Abzan Depths,Ad Nauseam Tendrils,0,2,0,2,2,0.0,1.0,0.0,0.0,0.0
Abzan Depths,BUG Control,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,BUG Delver,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Bant Loam,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Bant Stoneblade,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Burn,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
Abzan Depths,Dredge,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan Depths,Golgari Depths,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Grixis Delver,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Hogaak,4,0,0,4,4,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Jeskai Mentor,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan Depths,Painter,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Power Artifact Karn,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan Depths,Pox,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan Depths,Reanimator,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan Depths,Sneak and Show,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan Depths,UR Delver,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan Depths,UW Stoneblade,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,12-Post,4,3,0,7,7,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714
Ad Nauseam Tendrils,4C Astrolabe,10,3,0,13,13,0.7692307692307693,0.23076923076923078,0.0,0.7692307692307693,0.7692307692307693
Ad Nauseam Tendrils,4C Loam,4,4,0,8,8,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Abzan,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Abzan Depths,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
